ticker,n_total,n_2009,n_2010,n_2011,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,price_start,price_end,n_price_rows,max_gap_days,median_dollar_vol,liquidity_year,close_liquidity_mean,error,selection_news,tier,composite_score
LUV,2382,0,0,0,0,0,0,0,115,416,554,738,552,0,0,7,1980-01-02,2023-12-28,3773.0,5.0,267159862.52822876,2017.0,56.73549801039981,,970,STRONG,11.020865466909624
MRO,3947,5,69,271,366,263,236,419,613,341,510,365,244,0,0,245,1970-01-02,2023-12-28,3773.0,5.0,176493096.7388153,2017.0,14.27067730436287,,851,STRONG,10.803120503391536
MS,9458,0,602,527,365,257,375,639,619,759,713,551,918,889,1018,1226,1993-02-23,2023-12-28,3774.0,4.0,398856320.40023804,2017.0,46.11804781302038,,1472,STRONG,11.607705474660982
MYGN,2815,10,60,88,165,315,411,220,205,311,384,385,145,21,36,59,1995-10-06,2023-12-28,3773.0,5.0,22059840.876579285,2017.0,25.331832555185752,,695,STRONG,10.293465403279608
NDAQ,4255,14,113,370,433,437,175,253,272,376,408,385,354,198,205,262,2002-07-01,2023-12-28,3773.0,5.0,58276979.052734375,2017.0,72.22258940920887,,784,STRONG,10.532937155933647
NKE,7129,3,37,52,136,145,306,441,672,828,673,540,681,730,921,964,1980-12-02,2023-12-28,3773.0,5.0,463406949.40185547,2017.0,55.70601597820145,,1501,STRONG,11.606532696944871
NWL,2977,0,74,126,133,122,173,249,294,345,604,413,143,70,89,142,1980-03-17,2023-12-28,3773.0,5.0,173673246.0021973,2017.0,45.369043692174664,,949,STRONG,10.976394429849563
OHI,2992,5,11,21,54,92,111,399,580,388,539,467,108,48,92,77,1992-08-07,2023-12-28,3773.0,5.0,57928711.321258545,2017.0,31.527330679722517,,927,STRONG,10.825937584830893
OKE,2997,1,15,78,117,99,98,249,271,275,433,452,339,100,190,280,1980-10-01,2023-12-28,3773.0,5.0,134979928.04031372,2017.0,53.533346624488374,,708,STRONG,10.509298805414375
OXY,7691,3,147,164,268,228,337,518,511,375,718,1208,1058,362,962,832,1981-12-31,2023-12-28,3773.0,5.0,268122616.09573364,2017.0,64.11864545905732,,1093,STRONG,11.228322619054289
PLCE,2874,13,61,77,134,132,80,165,475,778,337,337,96,42,78,69,1997-09-19,2023-12-28,3773.0,5.0,48085000.0,2017.0,111.14541829629724,,1115,STRONG,10.688453342494817
PRU,3891,10,148,136,269,247,219,317,337,365,414,387,363,173,230,276,2001-12-13,2023-12-28,3773.0,5.0,192083302.53982544,2017.0,108.3110756741102,,779,STRONG,10.636293109742354
QCOM,8954,0,56,87,402,502,569,913,664,473,1127,1011,670,568,833,1079,1991-12-13,2023-12-28,3773.0,5.0,479538054.01763916,2017.0,56.851832705189985,,1600,STRONG,11.844969708217981
RS,2861,0,0,0,0,0,7,55,63,1549,615,35,38,59,237,203,1994-09-16,2023-12-28,3773.0,5.0,36024844.271850586,2017.0,77.16179270953296,,2164,STRONG,11.60757249091466
SPWR,5128,0,0,13,212,451,520,776,739,587,451,461,273,211,240,194,2005-11-17,2023-12-28,3773.0,5.0,20291397.514867783,2017.0,7.954023898835201,,1038,STRONG,10.7635080455647
SU,3682,11,72,155,113,125,110,451,459,317,375,330,335,222,343,264,1980-03-17,2023-12-28,3773.0,5.0,98398907.96203612,2017.0,32.227290780420795,,692,STRONG,10.409212890505493
TEVA,3598,1,27,40,88,108,136,167,210,800,540,529,394,160,191,207,1982-02-16,2023-12-28,3773.0,5.0,253712658.41388702,2017.0,25.622071725913727,,1340,STRONG,11.317218179559461
TSN,5994,3,123,240,339,369,553,607,647,543,541,647,509,217,352,304,1980-03-17,2023-12-28,3773.0,5.0,155239440.63949585,2017.0,66.19637465761951,,1084,STRONG,11.082941038710821
USO,5431,5,357,895,110,263,455,331,583,464,396,227,398,345,327,275,2006-04-10,2023-12-28,3773.0,5.0,218455924.87335205,2017.0,84.01019904148056,,860,STRONG,10.722827749073835
VRTX,5320,5,54,171,202,148,222,255,237,427,709,704,558,332,649,647,1991-07-24,2023-12-28,3773.0,5.0,182080004.88281247,2017.0,126.90382482521088,,1136,STRONG,11.246879019098538
WEN,4078,6,123,220,273,358,311,420,555,310,402,410,251,118,151,170,1980-05-06,2023-12-28,3773.0,5.0,36653071.632671356,2017.0,14.828685266563141,,712,STRONG,10.381655093161726
WFC,11301,0,0,2,309,285,222,419,2133,1928,1095,833,1182,857,850,1186,1972-06-01,2023-12-28,3773.0,5.0,915774542.0734406,2017.0,54.97992037586957,,3023,STRONG,12.574158687212854
WSM,3567,9,110,144,268,224,373,368,355,306,359,356,180,106,252,157,1983-07-07,2023-12-28,3773.0,5.0,71398697.65319826,2017.0,49.31346606068402,,665,STRONG,10.320265963265129
