ticker,n_pre2018,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_total
BK,1355,417,440,313,172,260,349,3306
CL,2093,541,538,270,147,208,345,4142
RY,491,101,62,218,274,295,344,1785
TOL,1551,222,154,128,63,182,343,2643
ZION,1560,256,241,133,54,101,342,2687
ROST,897,276,82,98,98,221,339,2011
KMB,2591,600,472,296,150,210,336,4655
PCAR,541,202,79,57,99,156,335,1469
CLX,2354,471,391,509,165,185,334,4409
TM,3718,473,313,246,262,300,334,5646
EBAY,4295,660,546,537,465,344,331,7178
ADM,1206,294,227,181,164,505,328,2905
DLTR,2274,693,571,348,212,531,327,4956
PCG,1627,707,1736,395,129,165,324,5083
D,2659,1119,732,382,146,269,324,5631
FL,2669,716,817,264,118,205,319,5108
TTWO,680,290,248,227,262,361,319,2387
COF,2586,476,474,324,153,168,316,4497
AIG,3588,363,205,323,153,218,313,5163
TRV,3385,506,441,307,134,307,310,5390
CME,2391,516,470,311,185,208,308,4389
PBR,3996,990,562,196,153,318,308,6523
NSC,2779,513,527,226,133,248,305,4731
A,1700,239,305,125,0,75,304,2748
ACGL,705,150,233,114,44,205,304,1755
TSN,3424,541,647,509,217,352,304,5994
UBS,1963,344,406,177,98,187,302,3477
BBY,2343,376,247,299,307,364,300,4236
TD,1485,395,323,229,185,224,299,3140
AKAM,592,122,261,244,134,113,299,1765
EA,3610,928,1032,539,354,346,298,7107
APA,795,186,153,256,173,311,297,2171
RL,2364,497,458,241,119,187,294,4160
MMSI,467,180,205,99,23,146,289,1409
CASY,339,70,131,63,56,202,289,1150
CCI,1535,353,442,243,134,213,288,3208
NVAX,992,271,287,1308,1093,693,287,4931
URI,605,285,182,175,81,284,284,1896
TAP,2083,507,578,290,132,116,282,3988
CSX,3671,751,707,255,130,374,282,6170
DRI,2284,457,273,282,114,136,282,3828
OKE,1203,433,452,339,100,190,280,2997
CLF,2337,474,385,205,227,232,279,4139
EMR,1114,476,460,187,102,215,279,2833
AAP,2079,546,351,174,79,168,277,3674
CPB,1669,436,444,339,129,255,276,3548
PRU,2048,414,387,363,173,230,276,3891
NTES,2279,386,419,236,148,146,275,3889
VFC,635,177,99,107,110,147,275,1550
USO,3463,396,227,398,345,327,275,5431
AFL,1873,461,377,195,73,171,270,3420
HSIC,1049,308,202,93,56,328,266,2302
EW,2744,522,545,264,76,147,265,4563
UNM,364,125,72,111,64,213,265,1214
CF,2450,738,252,129,108,294,265,4236
SU,1813,375,330,335,222,343,264,3682
EQT,1161,352,448,185,119,306,264,2835
NDAQ,2443,408,385,354,198,205,262,4255
EME,761,282,207,70,32,97,261,1710
MNST,2460,398,467,219,90,133,261,4028
KSS,3553,975,769,562,245,455,259,6818
AGNC,793,292,374,200,137,263,259,2318
PVH,2102,419,421,197,82,140,259,3620
